Organization Name,Organization Name URL,Full Description,Website,Industries,Headquarters Location,Description,CB Rank (Company),Founded Date,Founded Date Precision,Number of Employees,Monthly Visits,Headquarters Regions,Postal Code,Diversity Spotlight,Operating Status,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Hub Tags,Actively Hiring,Number of Sub-Orgs,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Industry Groups,Number of Founders,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Contact Job Departments,Number of Contacts,Number of Private Contacts,Average Visits (6 months),Monthly Visits Growth,Estimated Revenue Range,School Type,School Program,Number of Enrollments,School Method,Number of Founders (Alumni),Number of Alumni,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors
2 Emme Clima,https://www.crunchbase.com/organization/2-emme-clima,2 Emme Clima is a manufacturing company that provides AC brackets and external installation accessories.,https://www.2emmeclima.com/,"Machinery Manufacturing, Manufacturing","Padua, Veneto, Italy",2 Emme Clima is a manufacturing company that provides AC brackets and external installation accessories.,"2,814,130",2008-01-01,year,11-50,"1,470","European Union (EU), Europe, Middle East, and Africa (EMEA)",35030,,Active,2021-05-05,day,,,For Profit,,https://www.facebook.com/2-Emme-Clima-Srl-1551385858491447/,https://www.linkedin.com/company/2-emme-clima-srl/,info@2emmeclima.com,+39 049-9903985,1,,,,,,,,,,,,,,,Manufacturing,,,,M&A,,,,,,,,,,87.76%,,,,,,,,,,,,,,,,,,,,
20lines,https://www.crunchbase.com/organization/20lines,"20lines is a website and a mobile app where users write, read and share short stories. Their goal is to connect writers and readers around the concept of free short stories. They aim at becoming the “Instagram” for short stories.  On 20lines everyone can easily share their stories, from the teenagers writing their daily journal for their friends to the important authors who want to share the preview of their next book with their audience.",http://20lines.com,"Education, Parenting, Publishing","Roncade, Veneto, Italy","20lines is a web and mobile application for users to write, read, and share short stories.","925,584",2012-01-01,year,1-10,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",31056,,Closed,2018-11-09,day,,none,For Profit,http://twitter.com/20lines,https://www.facebook.com/20ines/,https://www.linkedin.com/company/20lin-es,info@20lin.es,39 3497 10 37 47,,,,,,,,,,,,,,,,"Community and Lifestyle, Content and Publishing, Education, Media and Entertainment",4,"Alessandro Biggi, Francesco Scalambrino, Marco Pugliese, Pietro Pollichieni",3,M&A,2014-06-01,800000,USD,800000,Seed,,,,,,$1M to $10M,,,,,,,800000,USD,800000,Seed,1245557,USD,1245557,1245557,USD,1245557,"United Ventures, Club Italia Investimenti 2, H-FARM, Massimiliano Magrini",,4
24 ORE Software,https://www.crunchbase.com/organization/24-ore-software,24 ORE Software is a privately held company that develops and provides software solutions to professionals and the construction sector.,https://24oreprofessionale.ilsole24ore.com/software/?wpv-linea-prodotto=software&refresh_ce=1,"Information Technology, Software","Milan, Lombardia, Italy",24 ORE Software is a privately held company that develops and provides software solutions to professionals and the construction sector.,"1,447,181",,,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",20149,,Active,2014-05-28,day,,,For Profit,,,,,800 016756,,,,,,,,,,,,,,,,"Information Technology, Software",,,,M&A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2i Rete Gas,https://www.crunchbase.com/organization/2i-rete-gas,"2i Rete Gas deals with the distribution of natural gas for civil and industrial uses. Our reality is the result of a process of acquisitions that, over time, has allowed the integration and consolidation of numerous companies in the sector and, consequently, the guarantee of an ever increasing quality of service, compliance with the best safety standards , as well as the achievement of high levels of technological innovation and cost-effectiveness of management.",https://2iretegas.it,"Electrical Distribution, Industrial, Oil and Gas","Milano, Lombardia, Italy",2i Rete Gas provides oil and gas distribution services for civil and industrial uses.,"33,061",2013-01-01,year,1001-5000,"42,027","European Union (EU), Europe, Middle East, and Africa (EMEA)",20122,,Active,2024-10-05,day,,,For Profit,,,https://www.linkedin.com/company/2i-rete-gas-s-p-a-,,+39-02-938-991,16,,,,,,,,,,,,,,,"Energy, Manufacturing, Natural Resources",,,1,M&A,2024-06-07,200000000,EUR,216146115,Debt Financing,"Engineering, Management, Operations, Pro Services, Sales",49,,"59,452.33",-54.32%,$500M to $1B,,,,,,,,,,,,,,200000000,EUR,216146115,,,
3 Italia,https://www.crunchbase.com/organization/3-italy,"3 Italia (Tre Italia) was an Italian telecommunications company of the Hutchison Whampoa group, which offered mobile telephony services. It was founded as Andala in 1999 by Tiscali, Franco Bernabè and Sanpaolo IMI, and in 2000 was acquired by Hutchison Whampoa. On 31 December 2016 it merged with Wind Telecomunicazioni into Wind Tre, a joint venture equally controlled by CK Hutchison Holdings (formerly Hutchison Whampoa) and VimpelCom. However, the brand remained active until 16 March 2020, the date on which the new joint venture adopted the unified brand.",https://www.tre.it/,Telecommunications,"Trezzano Sul Naviglio, Lombardia, Italy",3 Italia operated as a telecommunications company.,"1,175,637",1999-11-01,month,1001-5000,"14,550","European Union (EU), Europe, Middle East, and Africa (EMEA)",20090,,Closed,2015-08-06,day,2020-03-16,day,For Profit,https://twitter.com/Tre_It,https://www.facebook.com/3Italia,https://www.linkedin.com/company/h3g/,,,,,,,,,,,,,,,,,,Hardware,,,,M&A,,,,,,"Engineering, Operations",2,,,43.08%,,,,,,,,,,,,,,,,,,,,
3 New,https://www.crunchbase.com/organization/3-new,"Tre Solar is a joint venture between Ardian and the Tozzi Group, specialised in the development of renewable energy production, and acts with the aim to invest into renewable energy plants using solar and biomass as sources, in Italy.",,"Renewable Energy, Solar","Trento, Trentino-Alto Adige, Italy",3 New is a renewable energy production.,"1,948,773",2011-01-01,year,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",38068,,Active,2017-02-17,day,,,For Profit,,,,cinzia.benedetti@tresolar.it,+390464443370,,,,,,,,,,,,,,,,"Energy, Natural Resources, Sustainability",,,,M&A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302 Original Content,https://www.crunchbase.com/organization/302-original-content,"302 Original Content is an independent film and television production company.302 Original Content is an incubator of ideas, projected towards the national and international market.",https://302originalcontent.it,"Film, Film Production, Video","Milano, Lombardia, Italy",302 Original Content is an independent film and television production company.,"2,269,428",2021-01-01,year,11-50,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",20132,,Closed,2022-08-04,day,,none,For Profit,https://twitter.com/302Content,https://www.facebook.com/302originalcontent,https://www.linkedin.com/company/302originalcontent,info@302original.it,+39 02 281871,,,,,,,,,,,,,,,,"Media and Entertainment, Video",,,,M&A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34BigThings,https://www.crunchbase.com/organization/34bigthings,"34BigThings is one of the biggest independent game studios in Italy. Born out of sheer passion and self-sustained throughout, it's a variegated group of game developers making games they love in a laid-back working environment.",http://34bigthings.com/,"Console Games, PC Games, Video Games","Turin, Piemonte, Italy","34BigThings the largest independent gaming studio in Italy, currently focused on the development of PC and Console AA games.","342,745",2013-01-15,day,11-50,633,"European Union (EU), Europe, Middle East, and Africa (EMEA)",10129,,Active,2020-11-18,day,,,For Profit,https://www.twitter.com/34bigthings,https://www.facebook.com/34bigthings,https://www.linkedin.com/company/34bigthings-srl,,,6,,,,,,,,,,,,,,,Gaming,5,"Giacomo Ferronato, Giuseppe Enrico Franchi, Ivano Zanchetta, Marco Tansini, Valerio Di Donato",,M&A,,,,,,Engineering,2,,,63.64%,Less than $1M,,,,,,,,,,,,,,,,,,,
3D Line Medical Systems,https://www.crunchbase.com/organization/3d-line-medical-systems,3D Line Medical Systems develops and supplies hardware and software for linear accelerator based stereotactic radiosurgery.,,"Manufacturing, Medical Device, Software","Milan, Lombardia, Italy",3D Line Medical Systems develops and supplies hardware and software for linear accelerator based stereotactic radiosurgery.,"978,521",,,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",20126,,Active,2007-05-03,day,,,For Profit,,,,,39 022 550161,,,,,,,,,,,,,,,,"Health Care, Manufacturing, Software",,,,M&A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3T Bike,https://www.crunchbase.com/organization/3t-bike,,https://www.3t.bike/,"Cycling, E-Commerce, Manufacturing, Retail, Sports","Cavaria Con Premezzo, Lombardia, Italy","3T Bike is an Italian cycle sport company that sells gravel, e-bikes and road bikes as well as equipment for bike racing.","618,623",1961-01-01,year,11-50,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",24030,,Active,2022-12-13,day,,,For Profit,https://twitter.com/3Tbike,https://www.facebook.com/3Tbike,https://www.linkedin.com/company/3t-cycling/?originalSubdomain=in,info@3t.bike,+39.035.4943451,,,,,,,,,,,,,,,,"Commerce and Shopping, Manufacturing, Sports",1,Mario Dedioniggi,,M&A,,,,,,"Finance, Management, Marketing, Operations, Sales, Support",19,,,,,,,,,,,,,,,,,,,,,,,
